t,T1,Q1
0,17.998,0.0
1,17.998,0.0
2,17.998,0.0
3,17.998,0.0
4,17.998,0.0
5,17.998,0.0
6,17.998,0.0
7,17.998,0.0
8,17.998,0.0
9,17.998,0.0
10,18.063,0.0
11,17.998,0.0
12,17.998,0.0
13,17.998,0.0
14,17.998,0.0
15,18.739,1.0
16,18.449,1.0
17,18.868,1.0
18,18.771,1.0
19,18.514,1.0
20,18.675,1.0
21,18.804,1.0
22,18.739,1.0
23,18.868,1.0
24,18.9,1.0
25,18.675,1.0
26,19.094,1.0
27,19.126,1.0
28,18.707,1.0
29,19.319,1.0
30,19.255,1.0
31,19.255,1.0
32,19.513,1.0
33,19.674,1.0
34,19.738,1.0
35,19.803,1.0
36,19.899,1.0
37,20.189,1.0
38,20.479,1.0
39,20.447,1.0
40,20.673,1.0
41,20.931,1.0
42,20.834,1.0
43,21.027,1.0
44,21.479,1.0
45,21.414,1.0
46,21.769,1.0
47,21.833,1.0
48,22.188,1.0
49,22.478,1.0
50,22.51,1.0
51,22.639,1.0
52,23.122,1.0
53,23.154,1.0
54,23.412,1.0
55,23.605,1.0
56,23.767,1.0
57,24.186,1.0
58,24.314,1.0
59,24.25,1.0
60,24.766,1.0
61,24.959,1.0
62,25.023,1.0
63,25.313,1.0
64,25.636,1.0
65,25.797,1.0
66,26.151,1.0
67,26.248,1.0
68,26.441,1.0
69,26.925,1.0
70,27.054,1.0
71,27.054,1.0
72,27.537,1.0
73,27.827,1.0
74,28.021,1.0
75,28.278,1.0
76,28.439,1.0
77,28.858,1.0
78,29.052,1.0
79,29.02,1.0
80,29.664,1.0
81,29.632,1.0
82,29.761,1.0
83,30.276,1.0
84,30.438,1.0
85,30.566,1.0
86,30.889,1.0
87,30.985,1.0
88,31.308,1.0
89,31.469,1.0
90,31.727,1.0
91,32.017,1.0
92,32.274,1.0
93,32.371,1.0
94,32.758,1.0
95,33.112,1.0
96,33.08,1.0
97,33.306,1.0
98,33.692,1.0
99,33.918,1.0
100,33.886,1.0
101,34.369,1.0
102,34.401,1.0
103,34.724,1.0
104,34.756,1.0
105,35.078,1.0
106,35.304,1.0
107,35.433,1.0
108,35.465,1.0
109,35.819,1.0
110,35.98,1.0
111,36.109,1.0
112,36.335,1.0
113,36.657,1.0
114,36.818,1.0
115,36.979,1.0
116,37.302,1.0
117,37.431,1.0
118,37.463,1.0
119,37.817,1.0
120,38.043,1.0
121,38.236,1.0
122,38.43,1.0
123,38.784,1.0
124,38.978,1.0
125,38.978,1.0
126,39.332,1.0
127,39.654,1.0
128,39.59,1.0
129,39.719,1.0
130,39.977,1.0
131,40.267,1.0
132,40.492,1.0
133,40.621,1.0
134,40.847,1.0
135,40.943,1.0
136,40.976,1.0
137,41.298,1.0
138,41.523,1.0
139,41.523,1.0
140,41.523,1.0
141,41.813,1.0
142,41.91,1.0
143,41.975,1.0
144,42.168,1.0
145,42.426,1.0
146,42.748,1.0
147,42.813,1.0
148,42.909,1.0
149,43.231,1.0
150,43.36,1.0
151,43.425,1.0
152,43.554,1.0
153,43.779,1.0
154,43.973,1.0
155,44.069,1.0
156,44.327,1.0
157,44.392,1.0
158,44.521,1.0
159,44.778,1.0
160,44.875,1.0
161,44.972,1.0
162,44.875,1.0
163,44.907,1.0
164,45.036,1.0
165,45.004,1.0
166,45.326,1.0
167,45.487,1.0
168,45.487,1.0
169,45.455,1.0
170,45.745,1.0
171,45.777,1.0
172,45.906,1.0
173,46.003,1.0
174,46.164,1.0
175,46.68,1.0
176,46.712,1.0
177,46.776,1.0
178,46.938,1.0
179,46.97,1.0
180,46.938,1.0
181,47.324,1.0
182,47.55,1.0
183,47.679,1.0
184,47.582,1.0
185,47.872,1.0
186,48.227,1.0
187,48.291,1.0
188,48.098,1.0
189,48.452,1.0
190,48.484,1.0
191,48.581,1.0
192,48.742,1.0
193,48.871,1.0
194,48.839,1.0
195,49.161,1.0
196,49.322,1.0
197,49.387,1.0
198,49.58,1.0
199,49.645,1.0
200,49.806,1.0
201,49.902,1.0
202,50.128,1.0
203,49.902,1.0
204,50.16,1.0
205,50.289,1.0
206,50.16,1.0
207,50.482,1.0
208,50.45,1.0
209,50.515,1.0
210,50.772,1.0
211,50.869,1.0
212,50.837,1.0
213,51.03,1.0
214,51.449,1.0
215,51.32,1.0
216,51.578,1.0
217,51.643,1.0
218,51.546,1.0
219,51.804,1.0
220,51.771,1.0
221,51.965,1.0
222,51.481,0.0
223,51.578,0.0
224,51.578,0.0
225,51.578,0.0
226,51.61,0.0
227,51.675,0.0
228,51.675,0.0
229,51.739,0.0
230,51.739,0.0
231,51.804,0.0
232,51.868,0.0
233,51.836,0.0
234,51.965,0.0
235,51.9,0.0
236,51.997,0.0
237,51.933,0.0
238,51.868,0.0
239,51.836,0.0
240,51.836,0.0
241,51.804,0.0
242,51.836,0.0
243,51.643,0.0
244,51.514,0.0
245,51.514,0.0
246,51.514,0.0
247,51.481,0.0
248,51.256,0.0
249,51.224,0.0
250,51.191,0.0
251,51.03,0.0
252,50.869,0.0
253,50.869,0.0
254,50.772,0.0
255,50.547,0.0
256,50.547,0.0
257,50.418,0.0
258,50.225,0.0
259,50.225,0.0
260,50.096,0.0
261,49.902,0.0
262,49.741,0.0
263,49.58,0.0
264,49.58,0.0
265,49.322,0.0
266,49.258,0.0
267,49.161,0.0
268,49.0,0.0
269,48.936,0.0
270,48.613,0.0
271,48.613,0.0
272,48.549,0.0
273,48.291,0.0
274,48.162,0.0
275,47.969,0.0
276,47.937,0.0
277,47.646,0.0
278,47.614,0.0
279,47.324,0.0
280,47.002,0.0
281,46.97,0.0
282,46.68,0.0
283,46.583,0.0
284,46.357,0.0
285,46.035,0.0
286,46.035,0.0
287,45.777,0.0
288,45.713,0.0
289,45.648,0.0
290,45.391,0.0
291,45.294,0.0
292,45.068,0.0
293,45.036,0.0
294,44.778,0.0
295,44.746,0.0
296,44.553,0.0
297,44.424,0.0
298,44.102,0.0
299,43.876,0.0
300,43.779,0.0
301,43.457,0.0
302,43.457,0.0
303,43.135,0.0
304,43.07,0.0
305,42.813,0.0
306,42.748,0.0
307,42.587,0.0
308,42.49,0.0
309,42.168,0.0
310,42.168,0.0
311,41.878,0.0
312,41.846,0.0
313,41.588,0.0
314,41.523,0.0
315,41.266,0.0
316,41.201,0.0
317,41.072,0.0
318,40.879,0.0
319,40.718,0.0
320,40.589,0.0
321,40.524,0.0
322,40.234,0.0
323,40.234,0.0
324,40.041,0.0
325,39.912,0.0
326,39.654,0.0
327,39.59,0.0
328,39.558,0.0
329,39.268,0.0
330,39.3,0.0
331,39.074,0.0
332,38.945,0.0
333,38.849,0.0
334,38.623,0.0
335,38.43,0.0
336,38.333,0.0
337,38.333,0.0
338,37.979,0.0
339,37.914,0.0
340,37.721,0.0
341,37.656,0.0
342,37.592,0.0
343,37.334,0.0
344,37.302,0.0
345,37.012,0.0
346,37.012,0.0
347,36.786,0.0
348,36.689,0.0
349,36.689,0.0
350,36.367,0.0
351,36.367,0.0
352,36.238,0.0
353,36.045,0.0
354,36.013,0.0
355,35.819,0.0
356,35.787,0.0
357,35.69,0.0
358,35.465,0.0
359,35.4,0.0
360,35.465,0.0
361,35.207,0.0
362,35.078,0.0
363,35.078,0.0
364,34.853,0.0
365,34.756,0.0
366,34.82,0.0
367,34.434,0.0
368,34.434,0.0
369,34.337,0.0
370,34.176,0.0
371,33.982,0.0
372,33.854,0.0
373,33.757,0.0
374,33.563,0.0
375,33.467,0.0
376,33.467,0.0
377,33.177,0.0
378,33.145,0.0
379,33.08,0.0
380,32.854,0.0
381,32.822,0.0
382,32.726,0.0
383,32.5,0.0
384,32.5,0.0
385,32.468,0.0
386,32.307,0.0
387,32.178,0.0
388,32.178,0.0
389,32.049,0.0
390,31.855,0.0
391,31.92,0.0
392,31.823,0.0
393,31.598,0.0
394,31.598,0.0
395,31.533,0.0
396,31.501,0.0
397,31.404,0.0
398,31.211,0.0
399,31.211,0.0
400,31.146,0.0
401,30.985,0.0
402,30.889,0.0
403,30.889,0.0
404,30.663,0.0
405,30.566,0.0
406,30.566,0.0
407,30.405,0.0
408,30.373,0.0
409,30.244,0.0
410,30.244,0.0
411,30.18,0.0
412,30.051,0.0
413,29.954,0.0
414,29.922,0.0
415,29.89,0.0
416,29.632,0.0
417,29.6,0.0
418,29.632,0.0
419,29.31,0.0
420,29.277,0.0
421,29.31,0.0
422,29.277,0.0
423,29.213,0.0
424,29.116,0.0
425,28.955,0.0
426,28.955,0.0
427,28.955,0.0
428,28.729,0.0
429,28.633,0.0
430,28.633,0.0
431,28.472,0.0
432,28.311,0.0
433,28.343,0.0
434,28.278,0.0
435,28.149,0.0
436,28.021,0.0
437,27.988,0.0
438,27.924,0.0
439,27.698,0.0
440,27.505,0.0
441,27.666,0.0
442,27.537,0.0
443,27.344,0.0
444,27.344,0.0
445,27.344,0.0
446,27.344,0.0
447,27.279,0.0
448,27.247,0.0
449,27.054,0.0
450,27.021,0.0
451,27.021,0.0
452,26.925,0.0
453,26.957,0.0
454,26.796,0.0
455,26.764,0.0
456,26.699,0.0
457,26.699,0.0
458,26.667,0.0
459,27.215,1.0
460,27.15,1.0
461,26.989,1.0
462,27.086,1.0
463,27.118,1.0
464,26.957,1.0
465,26.828,1.0
466,27.054,1.0
467,26.925,1.0
468,26.796,1.0
469,26.925,1.0
470,27.021,1.0
471,27.118,1.0
472,26.925,1.0
473,26.957,1.0
474,27.183,1.0
475,27.15,1.0
476,27.15,1.0
477,27.376,1.0
478,27.279,1.0
479,27.247,1.0
480,27.634,1.0
481,27.473,1.0
482,27.634,1.0
483,27.634,1.0
484,27.698,1.0
485,27.956,1.0
486,28.149,1.0
487,27.988,1.0
488,28.439,1.0
489,28.568,1.0
490,28.439,1.0
491,28.826,1.0
492,28.891,1.0
493,29.148,1.0
494,29.213,1.0
495,29.277,1.0
496,29.793,1.0
497,29.857,1.0
498,29.696,1.0
499,30.18,1.0
500,30.309,1.0
501,30.47,1.0
502,30.824,1.0
503,31.114,1.0
504,31.114,1.0
505,31.372,1.0
506,31.598,1.0
507,31.888,1.0
508,32.049,1.0
509,32.339,1.0
510,32.468,1.0
511,32.919,1.0
512,33.112,1.0
513,33.338,1.0
514,33.596,1.0
515,33.854,1.0
516,34.111,1.0
517,34.24,1.0
518,34.53,1.0
519,34.917,1.0
520,34.724,1.0
521,35.175,1.0
522,35.497,1.0
523,35.69,1.0
524,35.69,1.0
525,35.916,1.0
526,36.399,1.0
527,36.432,1.0
528,36.593,1.0
529,36.818,1.0
530,37.012,1.0
531,37.334,1.0
532,37.398,1.0
533,37.495,1.0
534,37.914,1.0
535,38.107,1.0
536,38.301,1.0
537,38.43,1.0
538,38.752,1.0
539,38.72,1.0
540,39.042,1.0
541,39.203,1.0
542,39.364,1.0
543,39.332,1.0
544,39.719,1.0
545,40.073,1.0
546,40.299,1.0
547,40.267,1.0
548,40.621,1.0
549,40.814,1.0
550,40.879,1.0
551,40.943,1.0
552,41.298,1.0
553,41.491,1.0
554,41.523,1.0
555,41.942,1.0
556,42.007,1.0
557,42.071,1.0
558,42.265,1.0
559,42.522,1.0
560,42.716,1.0
561,42.587,1.0
562,42.845,1.0
563,43.167,1.0
564,43.231,1.0
565,43.489,1.0
566,43.683,1.0
567,43.747,1.0
568,43.65,1.0
569,44.069,1.0
570,44.069,1.0
571,44.166,1.0
572,44.359,1.0
573,44.682,1.0
574,44.714,1.0
575,44.811,1.0
576,44.907,1.0
577,44.972,1.0
578,45.133,1.0
579,45.423,1.0
580,45.713,1.0
581,45.713,1.0
582,45.745,1.0
583,46.003,1.0
584,46.229,1.0
585,46.422,1.0
586,46.486,1.0
587,46.647,1.0
588,46.712,1.0
589,46.905,1.0
590,46.68,1.0
591,46.938,1.0
592,47.26,1.0
593,47.356,1.0
594,47.55,1.0
595,47.453,1.0
596,47.679,1.0
597,47.711,1.0
598,47.808,1.0
599,48.13,1.0
600,48.259,1.0
601,48.355,1.0
602,48.42,1.0
603,48.742,1.0
604,48.613,1.0
605,48.839,1.0
606,49.161,1.0
607,49.258,1.0
608,49.097,1.0
609,49.451,1.0
610,49.58,1.0
611,49.741,1.0
612,49.612,1.0
613,49.999,1.0
614,49.999,1.0
615,50.031,1.0
616,50.063,1.0
617,50.321,1.0
618,50.257,1.0
619,50.547,1.0
620,50.772,1.0
621,50.708,1.0
622,50.837,1.0
623,50.934,1.0
624,51.191,1.0
625,50.547,0.0
626,50.644,0.0
627,50.772,0.0
628,50.869,0.0
629,50.869,0.0
630,51.159,0.0
631,51.159,0.0
632,51.191,0.0
633,51.224,0.0
634,51.353,0.0
635,51.481,0.0
636,51.514,0.0
637,51.514,0.0
638,51.514,0.0
639,51.514,0.0
640,51.514,0.0
641,51.514,0.0
642,51.514,0.0
643,51.385,0.0
644,51.288,0.0
645,51.191,0.0
646,51.191,0.0
647,51.191,0.0
648,51.159,0.0
649,50.901,0.0
650,50.869,0.0
651,50.772,0.0
652,50.869,0.0
653,50.74,0.0
654,50.611,0.0
655,50.547,0.0
656,50.482,0.0
657,50.321,0.0
658,50.225,0.0
659,50.063,0.0
660,49.87,0.0
661,49.87,0.0
662,49.645,0.0
663,49.548,0.0
664,49.29,0.0
665,49.226,0.0
666,49.032,0.0
667,48.936,0.0
668,48.581,0.0
669,48.355,0.0
670,48.42,0.0
671,48.291,0.0
672,48.194,0.0
673,47.969,0.0
674,47.904,0.0
675,47.679,0.0
676,47.646,0.0
677,47.356,0.0
678,47.324,0.0
679,47.131,0.0
680,47.002,0.0
681,46.744,0.0
682,46.68,0.0
683,46.357,0.0
684,46.325,0.0
685,46.067,0.0
686,46.003,0.0
687,45.745,0.0
688,45.713,0.0
689,45.391,0.0
690,45.262,0.0
691,45.068,0.0
692,44.907,0.0
693,44.746,0.0
694,44.714,0.0
695,44.424,0.0
696,44.392,0.0
697,44.102,0.0
698,44.102,0.0
699,43.908,0.0
700,43.779,0.0
701,43.554,0.0
702,43.457,0.0
703,43.199,0.0
704,43.199,0.0
705,42.813,0.0
706,42.78,0.0
707,42.716,0.0
708,42.587,0.0
709,42.49,0.0
710,42.458,0.0
711,42.168,0.0
712,41.975,0.0
713,41.878,0.0
714,41.588,0.0
715,41.523,0.0
716,41.266,0.0
717,41.201,0.0
718,40.879,0.0
719,40.879,0.0
720,40.621,0.0
721,40.557,0.0
722,40.363,0.0
723,40.234,0.0
724,40.105,0.0
725,39.912,0.0
726,39.88,0.0
727,39.622,0.0
728,39.59,0.0
729,39.268,0.0
730,39.268,0.0
731,39.139,0.0
732,38.945,0.0
733,38.913,0.0
734,38.72,0.0
735,38.623,0.0
736,38.365,0.0
737,38.301,0.0
738,38.011,0.0
739,37.979,0.0
740,37.688,0.0
741,37.656,0.0
742,37.624,0.0
743,37.431,0.0
744,37.334,0.0
745,37.237,0.0
746,37.108,0.0
747,37.012,0.0
748,36.883,0.0
749,36.722,0.0
750,36.657,0.0
751,36.496,0.0
752,36.367,0.0
753,36.367,0.0
754,36.174,0.0
755,36.077,0.0
756,36.045,0.0
757,35.916,0.0
758,35.69,0.0
759,35.723,0.0
760,35.465,0.0
761,35.465,0.0
762,35.304,0.0
763,35.078,0.0
764,35.078,0.0
765,34.82,0.0
766,34.756,0.0
767,34.563,0.0
768,34.498,0.0
769,34.434,0.0
770,34.369,0.0
771,34.144,0.0
772,34.111,0.0
773,33.886,0.0
774,33.789,0.0
775,33.757,0.0
776,33.531,0.0
777,33.531,0.0
778,33.467,0.0
779,33.306,0.0
780,33.112,0.0
781,33.145,0.0
782,32.983,0.0
783,32.854,0.0
784,32.822,0.0
785,32.822,0.0
786,32.532,0.0
787,32.5,0.0
788,32.564,0.0
789,32.371,0.0
790,32.242,0.0
791,32.146,0.0
792,31.984,0.0
793,31.855,0.0
794,31.855,0.0
795,31.63,0.0
796,31.565,0.0
797,31.533,0.0
798,31.404,0.0
799,31.211,0.0
800,31.211,0.0
801,31.146,0.0
802,30.953,0.0
803,30.889,0.0
804,30.889,0.0
805,30.76,0.0
806,30.566,0.0
807,30.631,0.0
808,30.566,0.0
809,30.276,0.0
810,30.244,0.0
811,30.115,0.0
812,29.922,0.0
813,29.954,0.0
814,29.922,0.0
815,29.729,0.0
816,29.632,0.0
817,29.6,0.0
818,29.6,0.0
819,29.567,0.0
820,29.406,0.0
821,29.31,0.0
822,29.277,0.0
823,29.245,0.0
824,29.084,0.0
825,29.02,0.0
826,28.955,0.0
827,28.826,0.0
828,28.762,0.0
829,28.633,0.0
830,28.601,0.0
831,28.568,0.0
832,28.439,0.0
833,28.407,0.0
834,28.375,0.0
835,28.311,0.0
836,28.246,0.0
837,28.246,0.0
838,28.053,0.0
839,27.988,0.0
840,27.988,0.0
841,27.988,0.0
842,27.956,0.0
843,27.859,0.0
844,27.698,0.0
845,27.666,0.0
846,27.698,0.0
847,27.473,0.0
848,27.376,0.0
849,27.344,0.0
850,27.344,0.0
851,27.344,0.0
852,27.247,0.0
853,27.215,0.0
854,27.021,0.0
855,27.021,0.0
856,27.054,0.0
857,26.925,0.0
858,26.957,0.0
859,26.699,0.0
860,26.699,0.0
861,26.699,0.0
862,26.699,0.0
863,26.667,0.0
864,26.441,0.0
865,26.474,0.0
866,26.409,0.0
867,26.377,0.0
868,26.377,0.0
869,26.28,0.0
870,26.345,0.0
871,26.151,0.0
872,26.055,0.0
873,26.055,0.0
874,26.055,0.0
875,26.055,0.0
876,25.99,0.0
877,25.861,0.0
878,25.861,0.0
879,26.216,1.0
880,26.216,1.0
881,26.022,1.0
882,26.119,1.0
883,26.119,1.0
884,25.861,1.0
885,26.119,1.0
886,25.99,1.0
887,25.829,1.0
888,26.055,1.0
889,25.894,1.0
890,26.087,1.0
891,26.022,1.0
892,26.087,1.0
893,26.248,1.0
894,26.119,1.0
895,26.313,1.0
896,26.538,1.0
897,26.474,1.0
898,26.506,1.0
899,26.796,1.0
900,26.925,1.0
901,26.893,1.0
902,27.118,1.0
903,27.247,1.0
904,27.279,1.0
905,27.602,1.0
906,27.666,1.0
907,27.795,1.0
908,28.021,1.0
909,28.149,1.0
910,28.407,1.0
911,28.601,1.0
912,28.697,1.0
913,28.826,1.0
914,29.245,1.0
915,29.342,1.0
916,29.406,1.0
917,29.761,1.0
918,29.89,1.0
919,30.18,1.0
920,30.438,1.0
921,30.438,1.0
922,30.824,1.0
923,31.082,1.0
924,30.921,1.0
925,31.404,1.0
926,31.727,1.0
927,31.727,1.0
928,31.952,1.0
929,32.049,1.0
930,32.339,1.0
931,32.5,1.0
932,32.887,1.0
933,33.048,1.0
934,33.273,1.0
935,33.435,1.0
936,33.725,1.0
937,33.982,1.0
938,34.015,1.0
939,34.111,1.0
940,34.272,1.0
941,34.53,1.0
942,34.691,1.0
943,34.885,1.0
944,35.336,1.0
945,35.304,1.0
946,35.497,1.0
947,35.626,1.0
948,35.723,1.0
949,35.884,1.0
950,36.271,1.0
951,36.593,1.0
952,36.657,1.0
953,36.883,1.0
954,37.044,1.0
955,37.334,1.0
956,37.688,1.0
957,37.753,1.0
958,38.075,1.0
959,38.172,1.0
960,38.301,1.0
961,38.526,1.0
962,38.849,1.0
963,38.945,1.0
964,39.268,1.0
965,39.525,1.0
966,39.654,1.0
967,39.944,1.0
968,40.267,1.0
969,40.492,1.0
970,40.653,1.0
971,41.008,1.0
972,41.104,1.0
973,41.266,1.0
974,41.233,1.0
975,41.427,1.0
976,41.717,1.0
977,41.813,1.0
978,41.975,1.0
979,42.104,1.0
980,42.2,1.0
981,42.49,1.0
982,42.813,1.0
983,43.103,1.0
984,43.231,1.0
985,43.328,1.0
986,43.586,1.0
987,43.747,1.0
988,43.683,1.0
989,43.876,1.0
990,43.908,1.0
991,44.23,1.0
992,44.327,1.0
993,44.424,1.0
994,44.359,1.0
995,44.456,1.0
996,44.682,1.0
997,44.617,1.0
998,44.843,1.0
999,44.972,1.0
1000,45.068,1.0
1001,45.004,1.0
1002,45.197,1.0
1003,45.262,1.0
1004,45.229,1.0
1005,45.358,1.0
1006,45.584,1.0
1007,45.648,1.0
1008,45.745,1.0
1009,45.971,1.0
1010,46.003,1.0
1011,45.971,1.0
1012,45.938,1.0
1013,46.164,1.0
1014,46.261,1.0
1015,46.39,1.0
1016,46.325,1.0
1017,46.647,1.0
1018,46.905,1.0
1019,46.809,1.0
1020,46.905,1.0
1021,47.195,1.0
1022,47.324,1.0
1023,47.292,1.0
1024,47.614,1.0
1025,47.679,1.0
1026,47.711,1.0
1027,47.904,1.0
1028,48.033,1.0
1029,48.033,1.0
1030,47.711,0.0
1031,47.969,0.0
1032,47.969,0.0
1033,48.033,0.0
1034,48.291,0.0
1035,48.291,0.0
1036,48.517,0.0
1037,48.613,0.0
1038,48.613,0.0
1039,48.613,0.0
1040,48.646,0.0
1041,48.936,0.0
1042,48.936,0.0
1043,48.936,0.0
1044,48.936,0.0
1045,48.936,0.0
